x, y, z, red, green, blue, intensity
-1.91645, 0.237409, -12.9275, 205, 205, 20, 1
-1.68788, 0.232, -12.9541, 205, 205, 20, 1
-1.6735, 0.2149, -12.9545, 205, 205, 20, 1
-1.89687, 0.253561, -12.9384, 205, 205, 20, 1
-1.86103, 0.271664, -12.9389, 205, 205, 20, 1
-1.83286, 0.278757, -12.937, 205, 205, 20, 1
-1.77151, 0.277585, -12.9375, 205, 205, 20, 1
-1.7417, 0.269974, -12.9366, 205, 205, 20, 1
-1.70758, 0.254, -12.9417, 205, 205, 20, 1
-1.81683, 0.282238, -12.9401, 205, 205, 20, 1
-1.78629, 0.284405, -12.9461, 205, 205, 20, 1
-1.74733, 0.289033, -12.9376, 205, 205, 20, 1
-1.719, 0.2925, -12.9295, 205, 205, 20, 1
-1.85592, -0.0436487, -12.9, 205, 205, 20, 1
-1.82074, -0.0454143, -12.9002, 205, 205, 20, 1
-1.78576, -0.0466428, -12.9015, 205, 205, 20, 1
-1.7528, -0.0611, -12.8967, 205, 205, 20, 1
-1.6935, -0.0615, -12.9035, 205, 205, 20, 1
-1.92827, -0.0061445, -12.901, 205, 205, 20, 1
-1.90145, -0.0256392, -12.8993, 205, 205, 20, 1
-1.87546, -0.0380833, -12.8977, 205, 205, 20, 1
-1.7718, -0.03614, -12.8991, 205, 205, 20, 1
-1.75322, -0.0299445, -12.8983, 205, 205, 20, 1
-1.69318, -0.0171364, -12.8961, 205, 205, 20, 1
-1.663, -0.0145, -12.8905, 205, 205, 20, 1
-1.96722, 0.02918, -12.902, 205, 205, 20, 1
-1.94712, 0.0101923, -12.9005, 205, 205, 20, 1
-1.68975, 0.0265, -12.9116, 205, 205, 20, 1
-1.666, 0.00949989, -12.8865, 205, 205, 20, 1
-1.97983, 0.0544, -12.9048, 205, 205, 20, 1
-1.66367, 0.0575001, -12.8852, 205, 205, 20, 1
-1.99154, 0.107714, -12.901, 205, 205, 20, 1
-1.65575, 0.107, -12.887, 205, 205, 20, 1
-2, 0.1405, -12.8815, 205, 205, 20, 1
-1.98737, 0.141537, -12.8968, 205, 205, 20, 1
-1.96964, 0.180639, -12.8972, 205, 205, 20, 1
-1.95775, 0.197938, -12.8988, 205, 205, 20, 1
-1.93843, 0.217707, -12.8989, 205, 205, 20, 1
-1.9159, 0.236232, -12.8974, 205, 205, 20, 1
-1.6884, 0.230915, -12.9001, 205, 205, 20, 1
-1.6745, 0.215882, -12.9069, 205, 205, 20, 1
-1.89652, 0.251133, -12.9003, 205, 205, 20, 1
-1.86169, 0.269956, -12.8984, 205, 205, 20, 1
-1.82816, 0.278276, -12.8972, 205, 205, 20, 1
-1.77236, 0.276614, -12.8989, 205, 205, 20, 1
-1.74069, 0.268271, -12.8999, 205, 205, 20, 1
-1.70754, 0.252462, -12.9025, 205, 205, 20, 1
-1.882, 0.2805, -12.9175, 205, 205, 20, 1
-1.81139, 0.281451, -12.9029, 205, 205, 20, 1
-1.78564, 0.281409, -12.8993, 205, 205, 20, 1
-1.73, 0.298, -12.9047, 205, 205, 20, 1
-1.714, 0.287833, -12.8945, 205, 205, 20, 1
-1.85217, -0.0424385, -12.8613, 205, 205, 20, 1
-1.82027, -0.0434792, -12.8594, 205, 205, 20, 1
-1.79623, -0.0413285, -12.8628, 205, 205, 20, 1
-1.746, -0.044, -12.8503, 205, 205, 20, 1
-1.684, -0.0585, -12.8715, 205, 205, 20, 1
-1.92674, -0.00491029, -12.8609, 205, 205, 20, 1
-1.89973, -0.0240047, -12.8595, 205, 205, 20, 1
-1.87185, -0.0371038, -12.859, 205, 205, 20, 1
-1.77461, -0.0352158, -12.859, 205, 205, 20, 1
-1.7476, -0.0252, -12.8598, 205, 205, 20, 1
-1.68567, -0.0068333, -12.8572, 205, 205, 20, 1
-1.67067, -0.0201667, -12.8532, 205, 205, 20, 1
-2.004, 0.0324999, -12.8655, 205, 205, 20, 1
-1.9624, 0.0301, -12.8707, 205, 205, 20, 1
-1.94486, 0.0111216, -12.8608, 205, 205, 20, 1
-1.733, 0.00149999, -12.8445, 205, 205, 20, 1
-1.69218, 0.0222273, -12.8666, 205, 205, 20, 1
-1.6691, 0.0236, -12.8621, 205, 205, 20, 1
-1.96733, 0.0465, -12.8715, 205, 205, 20, 1
-1.7, 0.0454999, -12.8635, 205, 205, 20, 1
-1.6712, 0.0583, -12.8554, 205, 205, 20, 1
-1.98964, 0.1143, -12.862, 205, 205, 20, 1
-1.661, 0.0907857, -12.8551, 205, 205, 20, 1
-1.98504, 0.140827, -12.8596, 205, 205, 20, 1
-2.004, 0.1765, -12.8415, 205, 205, 20, 1
-1.96988, 0.175912, -12.8597, 205, 205, 20, 1
-1.95696, 0.195109, -12.8562, 205, 205, 20, 1
-1.658, 0.1865, -12.8475, 205, 205, 20, 1
-1.93802, 0.216164, -12.8606, 205, 205, 20, 1
-1.9154, 0.234883, -12.86, 205, 205, 20, 1
-1.69033, 0.2365, -12.8765, 205, 205, 20, 1
-1.89569, 0.250203, -12.8598, 205, 205, 20, 1
-1.86161, 0.268986, -12.8587, 205, 205, 20, 1
-1.82185, 0.278096, -12.8587, 205, 205, 20, 1
-1.7715, 0.277063, -12.8671, 205, 205, 20, 1
-1.74264, 0.272811, -12.8664, 205, 205, 20, 1
-1.70833, 0.260204, -12.8601, 205, 205, 20, 1
-1.849, 0.2815, -12.8425, 205, 205, 20, 1
-1.80607, 0.284357, -12.8613, 205, 205, 20, 1
-1.77687, 0.287344, -12.8533, 205, 205, 20, 1
-1.73986, 0.288786, -12.8508, 205, 205, 20, 1
-1.70729, 0.2885, -12.8524, 205, 205, 20, 1
-1.84776, -0.0413292, -12.8216, 205, 205, 20, 1
-1.82033, -0.0415978, -12.8207, 205, 205, 20, 1
-1.7817, -0.0463, -12.8253, 205, 205, 20, 1
-1.74975, -0.048, -12.8225, 205, 205, 20, 1
-1.92592, -0.00400002, -12.8192, 205, 205, 20, 1
-1.89992, -0.0207975, -12.8196, 205, 205, 20, 1
-1.86797, -0.0362385, -12.8198, 205, 205, 20, 1
-1.8016, -0.0395, -12.8097, 205, 205, 20, 1
-1.78173, -0.0362945, -12.8239, 205, 205, 20, 1
-1.7428, -0.0213333, -12.8256, 205, 205, 20, 1
-1.6906, -0.0155, -12.8305, 205, 205, 20, 1
-1.67, -0.013, -12.837, 205, 205, 20, 1
-1.96436, 0.0359545, -12.8099, 205, 205, 20, 1
